iter	Passed	Remaining
0	214	21267
1	356	17468
2	514	16630
3	639	15352
4	806	15323
5	970	15205
6	1141	15169
7	1299	14941
8	1472	14890
9	1609	14486
10	1764	14274
11	1958	14362
12	2185	14628
13	2388	14673
14	2585	14648
15	2787	14632
16	3011	14702
17	3272	14908
18	3500	14924
19	3705	14822
20	3839	14443
21	3976	14098
22	4105	13746
23	4275	13538
24	4423	13271
25	4557	12971
26	4710	12734
27	4868	12518
28	4996	12233
29	5152	12022
30	5282	11757
31	5426	11531
32	5591	11352
33	5749	11160
34	5885	10930
35	6024	10710
36	6165	10497
37	6294	10269
38	6418	10039
39	6543	9815
40	6691	9628
41	6821	9419
42	7007	9288
43	7173	9130
44	7389	9031
45	7554	8868
46	7684	8665
47	7838	8491
48	7966	8291
49	8094	8094
50	8225	7902
51	8361	7718
52	8518	7553
53	8648	7367
54	8792	7193
55	8912	7002
56	9063	6837
57	9211	6670
58	9341	6491
59	9465	6310
60	9585	6128
61	9717	5956
62	9852	5786
63	9986	5617
64	10132	5455
65	10279	5295
66	10395	5120
67	10549	4964
68	10664	4791
69	10799	4628
70	10918	4459
71	11033	4290
72	11154	4125
73	11297	3969
74	11431	3810
75	11569	3653
76	11688	3491
77	11833	3337
78	11963	3180
79	12082	3020
80	12214	2865
81	12335	2707
82	12462	2552
83	12582	2396
84	12707	2242
85	12861	2093
86	13080	1954
87	13224	1803
88	13380	1653
89	13514	1501
90	13636	1348
91	13766	1197
92	13958	1050
93	14111	900
94	14221	748
95	14352	598
96	14485	448
97	14609	298
98	14739	148
99	14859	0
